model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
multilag_ols,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
cross_correlation,,0.03518644837395658,0.30517901626696037,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.03518644837395658}",N-BC,B+C,W,raw,SPY,
panel_pooled,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_fe,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
asymmetry,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
relative_performance,0.08246277015565551,,,,18860,44,False,"{""r2_absolute_median"": 0.04207370911602909, ""r2_excess_median"": 0.05914496977655581, ""r2_combined_median"": 0.08246277015565551}",N-BC,B+C,W,raw,SPY,-360.91702467172803
granger,,,0.24241111658979603,1.3706468231735642,0,44,False,"{""pct_significant_lag1"": 0.3409090909090909}",N-BC,B+C,W,raw,SPY,
seasonality,,,,,19388,44,False,"{""jan_mean"": 1.3607042216830165e-16, ""best_month"": 3, ""worst_month"": 4}",N-BC,B+C,W,raw,SPY,
drawdown,0.016839265917835244,-0.44709478573199174,0.4000996066118102,,1132,44,False,"{""1m"": {""beta_depth"": -0.44709478573199174, ""beta_depth_p"": 0.4000996066118102, ""r2"": 0.016839265917835244}, ""2m"": {""beta_depth"": 0.7774129712902484, ""beta_depth_p"": 0.6541986059852869, ""r2"": 0.008290433053310564}, ""3m"": {""beta_depth"": 1.0289423082446583, ""beta_depth_p"": 0.7410372427365934, ""r2"": 0.005508744578835656}, ""6m"": {""beta_depth"": 3.6629231650852674, ""beta_depth_p"": 0.4718748331286565, ""r2"": 0.010871081896680068}}",N-BC,B+C,W,raw,SPY,-46.54096625639759
panel_entity_fe_cum,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-BC,B+C,W,raw,SPY,
